Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Odds,Bookmaker
Jamari Thrash,N/A,Washington Commanders,Cleveland Browns,2024,5,2024-10-06T17:00:00Z,2200,DraftKings
Travis Etienne Jr.,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,-135,DraftKings
Trey Sermon,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,110,DraftKings
Anthony Richardson,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,125,DraftKings
Brian Thomas Jr,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,205,DraftKings
Trevor Lawrence,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,230,DraftKings
Christian Kirk,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,220,DraftKings
Josh Downs,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,205,DraftKings
Gabe Davis,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,235,DraftKings
Tank Bigsby,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,270,DraftKings
Tyler Goodson,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,235,DraftKings
Evan Engram,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,255,DraftKings
Michael Pittman Jr.,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,215,DraftKings
Brenton Strange,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,280,DraftKings
Luke Farrell,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,400,DraftKings
Alec Pierce,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,340,DraftKings
Mo Alie-Cox,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,400,DraftKings
Adonai Mitchell,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,425,DraftKings
D'Ernest Johnson,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,700,DraftKings
Kylen Granson,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,650,DraftKings
Joe Flacco,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,800,DraftKings
Devin Duvernay,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,1100,DraftKings
Parker Washington,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,1200,DraftKings
Drew Ogletree,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,1100,DraftKings
Ashton Dulin,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,1300,DraftKings
Tim Jones,N/A,Jacksonville Jaguars,Indianapolis Colts,2024,5,2024-10-06T17:00:00Z,1600,DraftKings
Rhamondre Stevenson,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,140,DraftKings
De'Von Achane,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,150,DraftKings
Tyreek Hill,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,185,DraftKings
Antonio Gibson,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,210,DraftKings
Ja'Lynn Polk,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,255,DraftKings
Raheem Mostert,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,280,DraftKings
Tyler Huntley,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,300,DraftKings
Jaylen Waddle,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,275,DraftKings
Hunter Henry,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,320,DraftKings
Austin Hooper,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,400,DraftKings
DeMario Douglas,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,425,DraftKings
Jaylen Wright,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,450,DraftKings
Jacoby Brissett,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,500,DraftKings
Tyquan Thornton,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,550,DraftKings
Jonnu Smith,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,600,DraftKings
Jeff Wilson Jr.,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,700,DraftKings
Durham Smythe,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,1100,DraftKings
Braxton Berrios,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,1000,DraftKings
JaMycal Hasty,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,1200,DraftKings
Julian Hill,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,1300,DraftKings
Kayshon Boutte,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,1500,DraftKings
Tanner Conner,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,1800,DraftKings
Mitchell Wilcox,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,2000,DraftKings
Javon Baker,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,2500,DraftKings
Malik Washington,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,2500,DraftKings
Dee Eskridge,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,2500,DraftKings
Jordan Mason,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,-235,DraftKings
Deebo Samuel,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,-105,DraftKings
George Kittle,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,105,DraftKings
James Conner,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,100,DraftKings
Brandon Aiyuk,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,140,DraftKings
Jauan Jennings,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,165,DraftKings
Marvin Harrison Jr.,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,140,DraftKings
Trey McBride,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,205,DraftKings
Kyler Murray,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,245,DraftKings
Michael Wilson,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,240,DraftKings
Kyle Juszczyk,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,450,DraftKings
Brock Purdy,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,450,DraftKings
Elijah Higgins,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,300,DraftKings
Greg Dortch,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,320,DraftKings
Isaac Guerendo,N/A,San Francisco 49ers,Arizona Cardinals,2024,5,2024-10-06T20:05:00Z,500,DraftKings
