player_name,team,opponent_team,position,predicted_touchdown_probability,price,market_implied_prob,model_edge
Salvon Ahmed,IND,MIA,RB,0.14936777299339346,1700.0,0.05555555555555555,0.09381221743783791
K.J. Osborn,WAS,NYG,WR,0.14849925177933682,450.0,0.18181818181818182,-0.03331893003884501
Mo Alie-Cox,IND,MIA,TE,0.14836576025877743,700.0,0.125,0.02336576025877743
Jake Ferguson,DAL,PHI,TE,0.14742492125900764,360.0,0.21739130434782608,-0.06996638308881845
Troy Franklin,DEN,TEN,WR,0.14670078980472195,400.0,0.2,-0.05329921019527806
Ross Dwelley,SF,SEA,TE,0.14464720209936893,1400.0,0.06666666666666667,0.07798053543270227
Brock Wright,DET,GB,TE,0.1444072166940243,650.0,0.13333333333333333,0.011073883360690956
Kendrick Bourne,NE,LV,WR,0.14405790927739576,650.0,0.13333333333333333,0.010724575944062426
Britain Covey,LA,HOU,WR,0.14386351482135146,1100.0,0.08333333333333333,0.06053018148801813
Michael Wilson,ARI,NO,WR,0.14340215334740827,320.0,0.23809523809523808,-0.09469308474782981
Jahan Dotson,PHI,DAL,WR,0.1429367499722618,400.0,0.2,-0.05706325002773821
Daniel Bellinger,NYG,WAS,TE,0.14212742577411835,1400.0,0.06666666666666667,0.07546075910745169
Mason Tipton,NO,ARI,WR,0.1416650444100565,1900.0,0.05,0.0916650444100565
Zamir White,LV,NE,RB,0.14157325525751666,1300.0,0.07142857142857142,0.07014468382894523
Miles Sanders,DAL,PHI,RB,0.14145594990909213,390.0,0.20408163265306123,-0.0626256827439691
Avery Williams,PHI,DAL,RB,0.14023248699833152,1500.0,0.0625,0.07773248699833152
Lil'Jordan Humphrey,NYG,WAS,WR,0.13973219111343407,1600.0,0.058823529411764705,0.08090866170166937
Trenton Irwin,JAX,CAR,WR,0.13911913381378435,1100.0,0.08333333333333333,0.05578580048045102
Johnny Wilson,PHI,DAL,WR,0.13893500570625025,750.0,0.11764705882352941,0.021287946882720843
Ray-Ray McCloud,ATL,TB,WR,0.13846105921605523,350.0,0.2222222222222222,-0.08376116300616698
Rondale Moore,MIN,CHI,WR,0.13845322883831057,900.0,0.1,0.038453228838310566
Adonai Mitchell,IND,MIA,WR,0.13820650430417306,310.0,0.24390243902439024,-0.10569593472021718
Ainias Smith,PHI,DAL,WR,0.13809360839522586,900.0,0.1,0.03809360839522585
Will Shipley,PHI,DAL,RB,0.13779377590145314,550.0,0.15384615384615385,-0.016052377944700713
KhaDarel Hodge,ATL,TB,WR,0.1375211914967264,1000.0,0.09090909090909091,0.046612100587635485
Tyler Goodson,IND,MIA,RB,0.13675274586725747,1000.0,0.09090909090909091,0.04584365495816656
Mike Strachan,WAS,NYG,WR,0.13594472927950266,1100.0,0.08333333333333333,0.05261139594616933
Nick Muse,PHI,DAL,TE,0.1349288727132671,1400.0,0.06666666666666667,0.06826220604660042
Laquon Treadwell,IND,MIA,WR,0.1349024935208349,1500.0,0.0625,0.07240249352083489
Tanner Hudson,CIN,CLE,TE,0.13404306472608313,1100.0,0.08333333333333333,0.0507097313927498
Dawson Knox,BUF,BAL,TE,0.1339911564289849,330.0,0.23255813953488372,-0.09856698310589881
Shane Zylstra,DET,GB,TE,0.1335105638698374,2000.0,0.047619047619047616,0.08589151625078978
Isaiah Likely,BAL,BUF,TE,0.13342195618133967,200.0,0.3333333333333333,-0.19991137715199364
Jalen Brooks,DAL,PHI,WR,0.13319950992054044,850.0,0.10526315789473684,0.027936352025803607
Tyler Badie,DEN,TEN,RB,0.13285858553274385,1400.0,0.06666666666666667,0.06619191886607718
Patrick Mahomes,KC,LAC,QB,0.13279279200316976,380.0,0.20833333333333334,-0.07554054133016358
Malik Heath,GB,DET,WR,0.13277038953756934,1400.0,0.06666666666666667,0.06610372287090267
Tyler Johnson,NYJ,PIT,WR,0.13267694439364283,1100.0,0.08333333333333333,0.0493436110603095
Ja'Lynn Polk,NE,LV,WR,0.132318980551736,650.0,0.13333333333333333,-0.0010143527815973385
Greg Dortch,ARI,NO,WR,0.13215787538475587,650.0,0.13333333333333333,-0.0011754579485774574
Terrace Marshall,PHI,DAL,WR,0.1315483169071439,900.0,0.1,0.03154831690714388
Cole Kmet,CHI,MIN,TE,0.13134237499203458,310.0,0.24390243902439024,-0.11256006403235566
Julius Chestnut,TEN,DEN,RB,0.13123197764874867,1900.0,0.05,0.08123197764874866
Rakim Jarrett,TB,ATL,WR,0.13121538987317002,1200.0,0.07692307692307693,0.0542923129500931
Jalen Nailor,MIN,CHI,WR,0.13086517105438655,390.0,0.20408163265306123,-0.07321646159867468
Ben Sinnott,WAS,NYG,TE,0.13067653408200433,500.0,0.16666666666666666,-0.03599013258466233
Mack Hollins,NE,LV,WR,0.130613908795844,550.0,0.15384615384615385,-0.023232245050309852
Greg Dulcich,NYG,WAS,TE,0.1302950488723061,1600.0,0.058823529411764705,0.07147151946054141
Jonathan Mingo,DAL,PHI,WR,0.1300224675581143,900.0,0.1,0.030022467558114302
Kenneth Gainwell,PIT,NYJ,RB,0.13002065623279524,850.0,0.10526315789473684,0.024757498338058403
Tyler Lockett,TEN,DEN,WR,0.12953445741609884,425.0,0.19047619047619047,-0.060941733060091624
